"Warszawa Raków", 14568
"OS. DERBY", 14553
"IWICKA", 14406
"ZAJEZDNIA PRAGA", 14350
"WOŁOMIN SŁONECZNA", 14347
"MARYSIN", 14327
"KRÓLIKARNIA", 14229
"ŚW. WINCENTEGO", 14196
"CM. WAWRZYSZEWSKI", 14161
"TARGÓWEK-RATUSZ", 14151
"SZPITAL MSW", 14143
"KOŁO", 14139
"ŻYTNIA", 14119
"KOBYŁKA-OSSÓW", 14060
"MARYNIN", 14046
"KS. POPIEŁUSZKI", 14023
"UMIŃSKIEGO", 14009
"CHOTOMÓW", 13965
"PKP SŁUŻEWIEC", 13965
"GWIAŹDZISTA", 13948
"KOMORÓW", 13897
"BATUMI", 13871
"RYŻOWA", 13831
"WOŁOSKA", 13807
"CH TARGÓWEK", 13797
"CM. WOLSKI", 13785
"GRODKOWSKA", 13765
"STADION NARODOWY", 13753
"PKP URSUS-NIEDŹWIADEK", 13737
"ABRAHAMA", 13714
"SKOROSZEWSKA", 13688
"CH BLUE CITY", 13612
"WARSZAWA ANIN", 13588
"PŁOCHOCIN", 13583
"PL. HALLERA", 13579
"CIEPŁOWNIA WOLA", 13558
"OS. POTOK", 13549
"BRÓDNOWSKA", 13530
"KONDRATOWICZA", 13529
"CHOMICZÓWKA", 13503
"ŚRÓDBORÓW", 13470
"POMNIK LOTNIKA", 13328
"CM. WŁOSKI", 13163
"PKP URSUS", 13148
"KAZUBÓW", 13065
"BERESTECKA", 12997
"GRENADIERÓW", 12969
"WARSZAWA MIĘDZYLESIE", 12904
"ASPEKT", 12885
"SZWOLEŻERÓW", 12884
"PL. ZAMKOWY", 12840
"WSPÓLNA", 12810
"ZALESIE GÓRNE", 12778
"Metro Wilanowska", 12767
"PKP WŁOCHY", 12652
"ŚWIĘTOKRZYSKA", 12611
"ŁOPUSZAŃSKA", 12597
"WARSZAWA RADOŚĆ", 12577
"SARMACKA", 12572
"WARSZAWA GOŁĄBKI", 12522
"ARCHIMEDESA", 12518
"POPIELA", 12383
"STARE BEMOWO", 12302
"CZŁUCHOWSKA", 12244
"ELBLĄSKA", 12215
"KIELECKA", 12189
"GOCŁAWSKA", 12176
"WARSZAWA WESOŁA", 12171
"CH PROMENADA", 12117
"MODLIN", 12107
"LEGIONOWO", 12028
"JULIANOWSKA", 11994
"DALIBORA", 11933
"KSIĄŻĘCA", 11868
"WRÓBLA", 11847
"WAT", 11776
"STARA MIŁOSNA", 11750
"WARSZAWA REMBERTÓW", 11740
"NORBLIN", 11735
"MALBORSKA", 11695
"SZKOLNA", 11694
"NOVOTEL", 11647
"KULSKIEGO", 11603
"DŁUGOSZA", 11580
"POWĄZKI-CM. WOJSKOWY", 11574
"ZĄBKI", 11471
"PRZY AGORZE", 11308
"WITEBSKA", 11237
"KINOWA", 11153
"WOŁOMIN", 11135
"NOWY ŚWIAT-UNIWERSYTET", 11096
"INSTYTUT NEUROLOGII", 10994
"BIBLIOTEKA NARODOWA", 10879
"ŚWIĄTYNIA OPATRZNOŚCI BOŻEJ", 10847
"KRÓLOWEJ MARYSIEŃKI", 10842
"STRZELECKIEGO", 10741
"ADAMIECKIEGO", 10714
"WARSZAWA OKĘCIE", 10612
"KOCJANA", 10574
"BANACHA-SZPITAL", 10543
"DZIECI WARSZAWY", 10541
"TUŻYCKA", 10522
"MALCZEWSKIEGO", 10512
"MŁYNARSKA", 10495
"Krucza", 10493
"JÓRSKIEGO", 10484
"ŁOJEWSKA", 10475
"RECHNIEWSKIEGO", 10463
"Rzymowskiego", 10434
"KLARYSEWSKA", 10430
"SOBIESKIEGO", 10367
"WARSZAWA GOCŁAWEK", 10349
"LEŻAJSKA", 10338
"GORZYKOWSKA", 10338
"URSYNÓW ZACH.", 10295
"MOŁDAWSKA", 10281
"SMOCZA", 10263
"SOKRATESA", 10263
"ANNOPOL", 10263
"ORLICH GNIAZD", 10187
