"ELEKCYJNA", 19955
"WYŚCIGI", 19836
"ŻÓŁKIEWSKIEGO", 19827
"CZAPELSKA", 19819
"ROZBRAT", 19744
"WROCŁAWSKA", 19644
"ŻERAŃ FSO", 19631
"ESPERANTO", 19614
"SADYBA", 19607
"ŚWIĘTOKRZYSKA", 19319
"DOBRA", 19242
"PŁOCHOCIŃSKA", 19220
"KRAKOWIAKÓW", 19200
"BRÓDNO-PODGRODZIE", 18934
"OGRODY DZIAŁKOWE BEMOWO", 18813
"SOKOŁOWSKA", 18718
"MIĘDZYNARODOWA", 18655
"KOROTYŃSKIEGO", 18652
"WARSZAWA RAKOWIEC", 18317
"PARK OLSZYNA", 18273
"BEMOWO-RATUSZ", 18214
"TRASA ŁAZIENKOWSKA", 18165
"PARK MOCZYDŁO", 18140
"MIĘDZYBORSKA", 18089
"SULEJÓWEK MIŁOSNA", 18058
"METRO WAWRZYSZEW", 18038
"GOCŁAWSKA", 18024
"JADŹWINGÓW", 17965
"Warszawa Reduta Ordona", 17959
"ZAJEZDNIA PRAGA", 17900
"TOR STEGNY", 17890
"STADION NARODOWY", 17864
"POWĄZKOWSKA", 17720
"IWICKA", 17669
"WARSZAWA ŻWIRKI I WIGURY", 17595
"MICHALIN", 17569
"ŚWIDER", 17423
"ŚWIĄTYNIA OPATRZNOŚCI BOŻEJ", 17246
"CM. ŻYDOWSKI", 17163
"KIELECKA", 17100
"DICKENSA", 17088
"KOŁO", 17067
"SZPITAL BRÓDNOWSKI", 16984
"NOWOLIPKI", 16966
"PRZYCZÓŁEK GROCHOWSKI", 16940
"Rzymowskiego", 16927
"KONARSKIEGO", 16872
"GOTARDA", 16864
"POMNIK LOTNIKA", 16839
"Centrum", 16824
"PARK KASKADA", 16820
"WŁOŚCIAŃSKA", 16818
"ANNOPOL", 16776
"SGGW-REKTORAT", 16751
"SADY ŻOLIBORSKIE", 16725
"WSPÓLNA DROGA", 16702
"DOLINA SŁUŻEWIECKA", 16632
"BARTYCKA", 16523
"DEOTYMY", 16447
"PL. KRASIŃSKICH", 16433
"POLIGONOWA", 16361
"SZPITAL WOLSKI", 16269
"SARMACKA", 16118
"DYWIZJONU 303", 16060
"SZKOLNA", 16039
"BORA-KOMOROWSKIEGO", 16012
