"CYBERNETYKI", 25947
"METRO SŁODOWIEC", 25894
"BRANICKIEGO", 25846
"DOBRA", 25762
"BASENY INFLANCKA", 25485
"Warszawa Reduta Ordona", 25407
"CZAPELSKA", 25390
"DOLINA SŁUŻEWIECKA", 25299
"ZNANA", 25202
"RATUSZOWA-ZOO", 25038
"KAWĘCZYŃSKA-BAZYLIKA", 25027
"KONARSKIEGO", 25013
"SGGW-REKTORAT", 24612
"MANGALIA", 24578
"PARK TRAUGUTTA", 24506
"MICHALIN", 24211
"POWĄZKOWSKA", 24089
"WITOLIN", 23966
"ANIELEWICZA", 23732
"SZCZĘŚLIWICE", 23707
"HOTEL BRISTOL", 23698
"AL. ZIELENIECKA", 23690
"NISKA", 23593
"SADY ŻOLIBORSKIE", 23559
"DOLNA", 23558
"W-WA WESOŁA", 23500
"CZARNOMORSKA", 23492
"FORT WOLA", 23403
"CM. ŻYDOWSKI", 23391
"INSTYTUT FIZYKI", 23370
"MEHOFFERA", 23280
"ARCHIMEDESA", 23153
"REDUTA WOLSKA", 23076
"MORSKIE OKO", 22940
"OGRODY DZIAŁKOWE BEMOWO", 22919
"EMILII PLATER", 22899
"TORUŃSKA", 22879
"WARSZAWA MIEDZESZYN", 22845
"ZAJEZDNIA PRAGA", 22709
"WŁOCHY-RATUSZ", 22396
"BEŁDAN", 22267
"AL. WITOSA", 22246
"WARSZAWA WAWER", 22191
"SADYBA", 22111
"WARSZAWA LOTN. CHOPINA", 22111
"BORA-KOMOROWSKIEGO", 22051
"PKP WKD AL. JEROZOLIMSKIE", 21925
"ESPERANTO", 21852
"TARCHOMIN", 21794
"SULEJÓWEK MIŁOSNA", 21732
"ZAJEZDNIA OSTROBRAMSKA", 21713
"MURANÓW", 21665
"URSYNÓW PŁN.", 21588
"SZCZĘŚLIWICKA", 21554
"PARK MOCZYDŁO", 21372
"SASANKI", 21172
"WAWRZYSZEWSKA", 21103
"REMBIELIŃSKA", 21023
"CH MARKI", 20913
"NOWOLIPKI", 20820
"MIĘDZYBORSKA", 20748
"STEGNY", 20740
"CODZIENNA", 20732
"SYNÓW PUŁKU", 20685
"GOTARDA", 20662
"MYŚLIBORSKA", 20591
"WAŁ GOCŁAWSKI", 20559
"FOKSAL", 20490
"AFRYKAŃSKA", 20455
"RAKOWIEC", 20423
"DĄBRÓWKA WIŚLANA", 20387
"RZESZOTARSKIEJ", 20165
"MAJAKOWSKIEGO", 20132
"STARE BEMOWO", 20038
"DWERNICKIEGO", 20005
"SZOBERA", 19806
"POBORZAŃSKA", 19766
"Warszawa Raków", 19693
"KRAKOWIAKÓW", 19691
"SZASERÓW-SZPITAL", 19513
"WARSZAWA ANIN", 19445
"SZANCERA", 19438
"PŁOWIECKA", 19351
"DOMANIEWSKA", 19307
"BARTYCKA", 19237
"PŁOCKA-SZPITAL", 19000
"PKP SŁUŻEWIEC", 18998
"CONRADA", 18967
"TOR STEGNY", 18935
"BOGUSŁAWSKIEGO", 18870
"ORDONA", 18837
"SZPITAL MSW", 18808
"CENTRUM NAUKI KOPERNIK", 18703
"DW. WSCHODNI (LUBELSKA)", 18690
"SZWEDZKA", 18684
"ŚW. WINCENTEGO", 18619
"KOŁO", 18457
"HALE BANACHA", 18368
"CM. WAWRZYSZEWSKI", 18358
"BIAŁOWIEJSKA", 18334
"KRÓLIKARNIA", 18332
"IWICKA", 18318
"DEOTYMY", 18185
"AWF", 18098
"KIELECKA", 18089
"BERESTECKA", 18021
"KENIGA", 18012
"POMNIK LOTNIKA", 17980
"PL. HALLERA", 17936
"TORWAR", 17921
"GWIAŹDZISTA", 17811
"BRÓDNOWSKA", 17772
"HORBACZEWSKIEGO", 17744
"WARSZAWA FALENICA", 17699
"RYŻOWA", 17634
"MARYSIN", 17633
"PŁOCHOCIN", 17610
"ŻYTNIA", 17577
"BATUMI", 17566
"ŁOJEWSKA", 17528
"ABRAHAMA", 17525
"WOŁOSKA", 17470
"GORASZEWSKA", 17440
"CM. WOLSKI", 17330
"OS. DERBY", 17281
"WARSZAWA MIĘDZYLESIE", 17241
"PKP URSUS-NIEDŹWIADEK", 17240
"TARGÓWEK-RATUSZ", 17210
"KS. POPIEŁUSZKI", 17201
"KAZUBÓW", 17160
"MARYNIN", 17040
"CHOTOMÓW", 17020
"SKOROSZEWSKA", 16984
"WARSZAWA RADOŚĆ", 16894
"ZALESIE GÓRNE", 16782
"ROMASZEWSKIEGO", 16746
"CH TARGÓWEK", 16711
"JÓZEFÓW", 16690
"CHOMICZÓWKA", 16655
"STRZELECKIEGO", 16620
"ZIELONKA", 16595
"CH BLUE CITY", 16590
"OS. POTOK", 16556
"OTWOCK", 16451
"SZWOLEŻERÓW", 16448
"CM. WŁOSKI", 16357
"ŁOPUSZAŃSKA", 16314
"PKP URSUS", 16311
"ASPEKT", 16307
"ELBLĄSKA", 16287
"WARSZAWA REMBERTÓW", 16275
"POPIELA", 16183
"UMIŃSKIEGO", 16009
"SARMACKA", 15989
"BIBLIOTEKA NARODOWA", 15949
"WSPÓLNA", 15923
"PL. ZAMKOWY", 15912
"WARSZAWA WESOŁA", 15911
