"RONDO ŻABA", 25374
"BERESTECKA", 25298
"MIĘDZYBORSKA", 25187
"CH TARGÓWEK", 25091
"POŁCZYŃSKA-PARKING P+R", 24836
"MICHALIN", 24836
"INSTYTUT FIZYKI", 24610
"ELEKCYJNA", 24546
"AL. REYMONTA", 24534
"PKP URSUS", 24363
"KAWĘCZYŃSKA-BAZYLIKA", 24148
"WYŚCIGI", 24126
"WOŁOSKA", 24100
"MIĘDZYNARODOWA", 24058
"ŻERAŃ FSO", 23935
"KOROTYŃSKIEGO", 23891
"TRASA ŁAZIENKOWSKA", 23785
"BEMOWO-RATUSZ", 23690
"Warszawa Reduta Ordona", 23543
"WROCŁAWSKA", 23538
"PŁOCHOCIŃSKA", 23381
"WARSZAWA ŻWIRKI I WIGURY", 23316
"ESPERANTO", 23315
"IWICKA", 23148
"DICKENSA", 23015
"SOKOŁOWSKA", 22976
"SZPITAL BIELAŃSKI", 22942
"SZCZĘŚLIWICE", 22891
"WARSZAWA RAKOWIEC", 22821
"WARSZAWA WAWER", 22721
"PARK MOCZYDŁO", 22702
"JADŹWINGÓW", 22480
"CISZEWSKIEGO", 22422
"POMNIK LOTNIKA", 22296
"CM. ŻYDOWSKI", 22052
"WARSZAWA CENTRALNA", 22033
"ŚWIĘTOKRZYSKA", 22030
"PRZYCZÓŁEK GROCHOWSKI", 22015
"PARK OLSZYNA", 21988
"POWĄZKOWSKA", 21768
"OGRODY DZIAŁKOWE BEMOWO", 21675
"TOPOGRAFICZNA", 21666
"BARTYCKA", 21628
"DOLINA SŁUŻEWIECKA", 21622
"WARSZAWA MIEDZESZYN", 21501
"SZKOLNA", 21321
"PŁYTOWA", 21316
"PARK KASKADA", 21158
"SADYBA", 21130
"NOWOLIPKI", 21078
"WŁOŚCIAŃSKA", 21024
"HOTEL BRISTOL", 20981
"GOCŁAWSKA", 20903
"SADY ŻOLIBORSKIE", 20869
"KOŁO", 20843
"TOR STEGNY", 20780
"ŚWIĄTYNIA OPATRZNOŚCI BOŻEJ", 20763
"SGGW-KLINIKA", 20741
"ANNOPOL", 20700
"PARK TRAUGUTTA", 20682
"BRÓDNO-PODGRODZIE", 20676
"SASANKI", 20664
"KONARSKIEGO", 20642
"PLATERÓWEK", 20588
"SZPITAL BRÓDNOWSKI", 20518
"METRO WAWRZYSZEW", 20493
"DYWIZJONU 303", 20477
"SZPITAL WOLSKI", 20376
"BORA-KOMOROWSKIEGO", 20333
"JÓZEFÓW", 20260
"RAKOWIEC", 20204
"SZPITAL MSW", 20111
"POLIGONOWA", 20103
"WSPÓLNA DROGA", 20018
"CZARNOMORSKA", 19789
"ZALESIE GÓRNE", 19663
"METRO SŁODOWIEC", 19478
"GOTARDA", 19465
"PIASKI", 19394
"ŚW. BONIFACEGO", 19305
"KULSKIEGO", 19275
"KRÓLIKARNIA", 19178
"BANACHA-SZPITAL", 19121
"WŁOCHY-RATUSZ", 19059
"RATUSZOWA-ZOO", 18951
"WARSZAWA RADOŚĆ", 18642
"TARCHOMIN", 18642
"STADION NARODOWY", 18571
"WAWRZYSZEWSKA", 18522
"SARMACKA", 18420
"MALCZEWSKIEGO", 18354
"FORT WOLA", 18336
"DW. WSCHODNI (LUBELSKA)", 18270
"WSPÓLNA", 18221
"OTWOCK", 18200
"KLEMENSIEWICZA", 18181
"PŁOCHOCIN", 18151
"DEOTYMY", 18047
"SZWOLEŻERÓW", 17953
"ŁOPUSZAŃSKA", 17904
"AFRYKAŃSKA", 17798
"TARGÓWEK-RATUSZ", 17794
"PL. KASZTELAŃSKI", 17783
"NORBLIN", 17642
"KONSTRUKTORSKA", 17627
"HALE BANACHA", 17503
"CZUMY", 17445
"POWĄZKI-CM. WOJSKOWY", 17252
"WITOLIN", 17168
"MEHOFFERA", 17101
"WARSZAWA MIĘDZYLESIE", 17085
"MODLIN", 17084
"ŚW. WINCENTEGO", 16994
"BRÓDNOWSKA", 16959
"TOPIEL", 16833
"HALA WOLA", 16831
"PL. ZAMKOWY", 16776
"WARSZAWA ANIN", 16738
"WARSZAWA FALENICA", 16668
"SOBIESKIEGO", 16577
"STARA MIŁOSNA", 16551
"LEŻAJSKA", 16530
"WARSZAWA GOŁĄBKI", 16503
"BOGUSŁAWSKIEGO", 16382
"NISKA", 16323
"URSYNÓW PŁN.", 16311
"ADAMIECKIEGO", 16265
"KSIĄŻĘCA", 16258
"OS. MAJDAŃSKA", 16242
"PŁOWIECKA", 16203
"PL. HALLERA", 16190
"POPULARNA", 16177
"AL. ZIELENIECKA", 16130
"SYNÓW PUŁKU", 16095
"WARSZAWA WESOŁA", 16077
"KOCJANA", 16068
"WARSZAWA REMBERTÓW", 16032
"REMBIELIŃSKA", 16021
"RZYMOWSKIEGO", 16007
"STRZELECKIEGO", 16007
"BEŁDAN", 15959
"W-WA WOLA GRZYBOWSKA", 15618
"GRODZISK MAZ.", 15618
"ABRAHAMA", 15600
"AWF", 15525
"SZOBERA", 15513
"GARWOLIŃSKA", 15502
"ELBLĄSKA", 15458
"WIŚLICKA", 15436
"NOWY ŚWIAT", 15245
"DKS TARGÓWEK", 15245
"DW. ZACHODNI (TUNELOWA)", 15075
"HORBACZEWSKIEGO", 15062
"WAŁ GOCŁAWSKI", 15029
"UMIŃSKIEGO", 14995
"ROGALIŃSKA", 14942
"PKP URSUS-NIEDŹWIADEK", 14894
"SKOROSZEWSKA", 14846
"NOVOTEL", 14826
"JAKTORÓW", 14824
"SZANCERA", 14817
"ZIELONKA", 14707
"CH PROMENADA", 14700
"TORUŃSKA", 14598
"MODLIN LOTNISKO", 14598
"WOŁOMIN SŁONECZNA", 14528
